searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
one jervois,7,jervois close,one jervois,7 jervois close one jervois singapore 249103,249103,27051.7617655741,30548.4482164737,1.29254381129197,103.824798256849,jervois close,condo
riz haven,193,jalan loyang besar,riz haven,193 jalan loyang besar riz haven singapore 506928,506928,42403.4315497689,40207.6467245948,1.37989464950184,103.96274397719,riz haven,condo
lush on holland hill,21,holland hill,lush on holland hill,21 holland hill lush on holland hill singapore 278737,278737,24344.1241178839,32354.5866585653,1.30887768929861,103.800468775419,lush on holland hill,condo
topaz road,,topaz road,nil,topaz road,nil,31590.5420764825,34526.3760447752,1.3285185900161,103.865581580159,topaz road,condo
parc rosewood,97,rosewood drive,parc rosewood,97 rosewood drive parc rosewood singapore 737796,737796,22699.6612330452,45442.220643783,1.42723729858592,103.78569015345,rosewood,condo
derbyshire road,,derbyshire road,nil,derbyshire road,nil,29382.0679465455,33202.534373391,1.31654591549209,103.845738302703,derbyshire road,condo
haig 162,162,haig road,haig 162,162 haig road haig 162 singapore 438773,438773,35284.4660081249,32073.8140615765,1.30633784011654,103.898772934564,haig 162,condo
sin ming walk,,sin ming walk,nil,sin ming walk,nil,27852.980643384,38541.4411687703,1.36482868104674,103.831999314581,sin ming walk,condo
rosewood,3,rosewood drive,rosewood,3 rosewood drive rosewood singapore 737935,737935,22691.6104942001,45871.1001149472,1.43111592652524,103.785617730116,rosewood drive,condo
studio 3,28,shanghai road,studio 3,28 shanghai road studio 3 singapore 248196,248196,27360.0541344313,30898.5412156675,1.29570993713335,103.827568387283,studio 3,condo
eco sanctuary,63,chestnut avenue,eco sanctuary,63 chestnut avenue eco sanctuary singapore 679523,679523,21640.7666960396,39205.7363584749,1.37083658603427,103.77617637873,eco sanctuary,condo
balcon east,482,upper east coast road,balcon east,482 upper east coast road balcon east singapore 466519,466519,40128.853200186,33003.4127920009,1.31474326765884,103.942302354429,balcon east,condo
gardenvista,954,dunearn road,gardenvista,954 dunearn road gardenvista singapore 589483,589483,22062.3961375989,35661.3016789723,1.33878208258885,103.779965717144,gardenvista,condo
shelford view,26,shelford road,shelford view,26 shelford road shelford view singapore 288420,288420,25638.6267589042,34568.7061030008,1.32890152807378,103.812100334091,shelford view,condo
the lattiz,3d,lorong salleh,the lattiz,3d lorong salleh the lattiz singapore 416751,416751,36114.8112981347,34052.4613052439,1.32423180591114,103.906234493187,the lattiz,condo
idyllic residences,52,lorong m telok kurau,idyllic residences,52 lorong m telok kurau idyllic residences singapore 425346,425346,36841.0906896601,32553.539053848,1.31067589387575,103.912760068148,idyllic residences,condo
louis kienne serviced residences - havelock,554,havelock road,louis kienne serviced residences - havelock,554 havelock road louis kienne serviced residences - havelock singapore 169639,169639,27790.2815297134,30256.5805873722,1.2899042767199,103.831434171881,ariva on shan serviced residence,condo
espira residence,80,lorong k telok kurau,espira residence,80 lorong k telok kurau espira residence singapore 425710,425710,36793.8464229871,32798.8927221876,1.31289479727385,103.912335625355,espira residence,condo
yishun ring road,,yishun ring road,nil,yishun ring road,nil,27862.0939109092,45319.0557803195,1.42612719073754,103.832079231115,yishun ring road,condo
joo chiat mansions,156,joo chiat terrace,joo chiat mansions,156 joo chiat terrace joo chiat mansions singapore 427303,427303,35880.3910006052,32958.1894580647,1.31433566704984,103.904127822972,joo chiat mansions,condo
lakeview,97c,upper thomson road,lakeview,97c upper thomson road lakeview singapore 574329,574329,28114.1830675062,36826.3313246351,1.34931878113259,103.834344585477,lakeview estate,condo
oxford suites,21,oxford road,oxford suites,21 oxford road oxford suites singapore 218817,218817,30133.5234662546,33091.6684513353,1.31554373964709,103.852489365428,oxford suites,condo
the brooks i,60,springside walk,the brooks i,60 springside walk the brooks i singapore 786020,786020,26458.3427502681,42962.1749575678,1.40480911505593,103.819465500143,the brooks i,condo
terra hill (u/c),18c,yew siang road,terra hill (u/c),18c yew siang road terra hill (u/c) singapore 118994,118994,23589.8234442696,29004.6350038704,1.27858181282948,103.793691492159,terra hill,condo
caltex tampines,1,tampines avenue 8,caltex tampines,1 tampines avenue 8 caltex tampines singapore 529594,529594,38589.9644371942,36834.9805523232,1.34939512960688,103.928476016676,tampines avenue 1,condo
rv suites,396,river valley road,rv suites,396 river valley road rv suites singapore 248289,248289,27564.6687008906,30886.959867863,1.29560520303559,103.829406938324,ocean front suites,condo
caspian,52,lakeside drive,caspian,52 lakeside drive caspian singapore 648316,648316,15132.160857507,36068.0890331101,1.34245875579964,103.717693368001,caspian,condo
poole road pumping station,,poole road,poole road pumping station,poole road poole road pumping station,nil,34357.3316666661,32159.0982826818,1.30710932459379,103.890442216569,novelis,condo
32 gilstead,32,gilstead road,32 gilstead,32 gilstead road 32 gilstead singapore 309075,309075,28658.9553491129,33323.2305128947,1.31763797210019,103.839239630907,32 gilstead,condo
vetro,22a,mar thoma road,vetro,22a mar thoma road vetro singapore 328703,328703,31254.8175401846,34415.8254532386,1.32751884756176,103.862564898481,vetro,condo
balmoral crest,1,balmoral crescent,balmoral crest,1 balmoral crescent balmoral crest singapore 259882,259882,28076.94554759,33126.2204443961,1.31585628957472,103.834009973852,balmoral crest,condo
moonstone garden,38a,moonstone lane,moonstone garden,38a moonstone lane moonstone garden singapore 328469,328469,31626.1787013542,34468.9251218978,1.32799902012839,103.865901787981,moonstone lane,condo
city square residences,4,kitchener link,city square residences,4 kitchener link city square residences singapore 207228,207228,30729.4929224039,32531.5581111237,1.31047825271324,103.857844402473,city square residences,condo
sims urban oasis,10,sims drive,sims urban oasis,10 sims drive sims urban oasis singapore 387390,387390,33264.950418286,33566.239653483,1.31983521545938,103.880626895148,sims urban oasis,condo
woodgrove drive,,woodgrove drive,nil,woodgrove drive,nil,22258.9154428453,45650.6599868586,1.42912226197265,103.781729605573,woodgrove drive,condo
palm lodge,4,lorong 37 geylang,palm lodge,4 lorong 37 geylang palm lodge singapore 387902,387902,34299.7849350357,33054.353233505,1.31520570234631,103.889925313896,palm lodge,condo
the lakeshore,31,jurong west street 41,the lakeshore,31 jurong west street 41 the lakeshore singapore 649412,649412,15679.6882520635,36410.7743065059,1.34555810302633,103.722613082394,the lakeshore,condo
d'nest,139,pasir ris grove,d'nest,139 pasir ris grove d'nest singapore 518134,518134,40492.3654796937,38955.7341331951,1.36857369907868,103.945571141969,d'nest,condo
newton 21,21,newton road,newton 21,21 newton road newton 21 singapore 307954,307954,28794.8674342548,33020.5639936347,1.31490075979298,103.840460862924,newton 21,condo
kentish court,33,oxford road,kentish court,33 oxford road kentish court singapore 218816,218816,30119.7671216754,33047.6159435455,1.31514534529478,103.852365754708,kentish court,condo
sands skypark,1,bayfront avenue,sands skypark,1 bayfront avenue sands skypark singapore 018971,018971,31075.8983731428,29653.5119875185,1.28445018649266,103.860956741623,skypark,condo
dalvey gate road,,dalvey gate road,nil,dalvey gate road,nil,26032.3916096365,32821.7882618226,1.3131040121227,103.815638994916,dalvey road,condo
gilstead two,2,gilstead road,gilstead two,2 gilstead road gilstead two singapore 309061,309061,28572.1241616281,33027.1526677944,1.31496035037871,103.838459402687,gilstead two,condo
the luxurie,29,compassvale road,the luxurie,29 compassvale road the luxurie singapore 544758,544758,35039.646963181,41243.4130412228,1.38926443943236,103.896575260269,the luxurie,condo
centra heights,455,sims avenue,centra heights,455 sims avenue centra heights singapore 387607,387607,33926.8337361449,33174.6809694599,1.31629397762889,103.88657418395,centra heights,condo
whitehaven,332,pasir panjang road,whitehaven,332 pasir panjang road whitehaven singapore 117395,117395,21801.9586617183,30215.5209778119,1.28953233534953,103.777626625155,whitehaven,condo
glasgow road,,glasgow road,nil,glasgow road,nil,33034.1413993947,38177.9680311566,1.36154497621558,103.878557824199,glasgow road,condo
hougang street 32,,hougang street 32,nil,hougang street 32,nil,34859.5960157831,38389.9463497467,1.36345876511866,103.894956701264,hougang street 32,condo
evelyn road,,evelyn road,nil,evelyn road,nil,28748.328478807,33165.4625450917,1.31621055542784,103.840043864962,evelyn road,condo
paya lebar green north,1,eunos road 8,paya lebar green north,1 eunos road 8 paya lebar green north singapore 408603,408603,34559.2891279068,33811.2856477685,1.32205107371502,103.892257249683,eunos green,condo
hedges park condominium,71,flora drive,hedges park condominium,71 flora drive hedges park condominium singapore 506881,506881,42812.9066403229,37478.2644060627,1.35521095284251,103.966422045067,hedges park condominium,condo
piccadilly grand (u/c),3,northumberland road,piccadilly grand (u/c),3 northumberland road piccadilly grand (u/c) singapore 219569,219569,30129.7347016605,32616.9196063913,1.311250279155,103.852455288833,piccadilly grand,condo
everitt road north,,everitt road north,nil,everitt road north,nil,35593.578971884,33116.7586136251,1.31576978281993,103.901550713774,everitt road north,condo
geylang conservation area,6,lorong 24a geylang,geylang conservation area,6 lorong 24a geylang geylang conservation area singapore 398530,398530,33618.8915981269,32799.6270537395,1.31290218164637,103.883807100407,lorong 24a geylang,condo
bagnall haus (u/c),813,upper east coast road,bagnall haus (u/c),813 upper east coast road bagnall haus (u/c) singapore 466609,466609,41523.3756972365,33615.2069553975,1.32027552345902,103.954833082378,bagnall haus,condo
minbu road,,minbu road,nil,minbu road,nil,29768.8636974737,34053.5455445558,1.32424263566888,103.849212771702,minbu road,condo
spc upper serangoon,849,upper serangoon road,spc upper serangoon,849 upper serangoon road spc upper serangoon singapore 534686,534686,33507.3933054358,37845.9565730505,1.35853939951238,103.882806146004,upper serangoon view,condo
flo residence,7,punggol field walk,flo residence,7 punggol field walk flo residence singapore 828742,828742,36907.7253834009,41608.1119770333,1.39256213043102,103.91336149334,flo residence,condo
j c draycott,34,draycott drive,j c draycott,34 draycott drive j c draycott singapore 259426,259426,27739.6189482994,32464.8832820356,1.30987538864486,103.830978929086,j c draycott,condo
the raintree,85,bukit drive,the raintree,85 bukit drive the raintree singapore 587848,587848,21426.2523196097,36716.3262726534,1.34832321330413,103.774249363629,the raintree,condo
yong an park,331,river valley road,yong an park,331 river valley road yong an park singapore 238363,238363,28098.3240666334,30788.8430810403,1.29471787222773,103.83420206342,yong an park,condo
urban heritage,238,balestier road,urban heritage,238 balestier road urban heritage singapore 329701,329701,30227.5306175873,33788.3350701872,1.32184413934142,103.853334117435,urban heritage,condo
the draycott,50,draycott park,the draycott,50 draycott park the draycott singapore 259396,259396,27769.266468619,32663.2002312671,1.31166889741382,103.831245324955,the draycott,condo
lorong salleh,,lorong salleh,nil,lorong salleh,nil,36186.5217636183,33975.5926537869,1.32353667060891,103.906878818924,lorong salleh,condo
kerrisdale,34,sturdee road,kerrisdale,34 sturdee road kerrisdale singapore 207854,207854,30762.0177172553,32813.0957314018,1.31302437648346,103.858136678648,kerrisdale,condo
faber hills,108,faber drive,faber hills,108 faber drive faber hills singapore 129418,129418,19452.3538199076,33637.6631962694,1.32048040278623,103.756513529998,faber hills,condo
22 cornwall gardens singapore 269647,22,cornwall gardens,nil,22 cornwall gardens singapore 269647,269647,24322.5882355934,33106.2034397963,1.31567504255483,103.800275175937,cornwall gardens,condo
1d jalan singa singapore 418121,1d,jalan singa,nil,1d jalan singa singapore 418121,418121,36140.5208629686,34746.1721344125,1.33050546911115,103.906465691539,jalan singa,condo
the iveria,2,kim yam road,the iveria,2 kim yam road the iveria singapore 239320,239320,28584.1374032935,30850.8550364338,1.29527868125887,103.838567307022,the iveria,condo
surrey 21,21,surrey road,surrey 21,21 surrey road surrey 21 singapore 307754,307754,29138.9068972422,33118.3954744414,1.31578550234081,103.843552234152,surrey point,condo
grandeur park residences,7,bedok south avenue 3,grandeur park residences,7 bedok south avenue 3 grandeur park residences singapore 465464,465464,40497.1928901495,34184.9626123719,1.32542861841636,103.945612544747,grandeur park residences,condo
pasir panjang court,21,pasir panjang close,pasir panjang court,21 pasir panjang close pasir panjang court singapore 118972,118972,21210.6246262034,30523.5684484132,1.29231808426578,103.772313180824,pasir panjang close,condo
